Ann̩e,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,4.8,5.6,6.3,6.3,11.4,20.1,23.6,24.6,37.6
1972,9.4,15.5,15.7,27.2,29.0,29.0,39.9,43.7,59.2
1975,11.4,22.1,32.8,36.1,37.3,37.3,44.7,61.2,66.5
1976,10.9,10.9,10.9,10.9,11.4,16.0,25.4,34.0,35.1
1977,12.7,13.2,13.2,16.0,16.3,16.5,28.7,33.3,40.1
1978,5.5,9.7,12.7,16.8,19.2,23.4,42.2,54.2,66.5
1979,11.5,16.1,17.7,18.4,22.5,34.0,42.3,60.6,62.5
1980,6.4,8.9,11.9,16.3,22.9,39.4,43.4,43.7,44.0
1981,,,,,16.9,25.6,63.5,89.2,89.2
1982,4.3,7.1,8.2,8.8,12.7,15.9,23.5,25.0,25.7
1983,3.8,6.3,7.8,10.6,14.0,15.3,24.7,30.4,43.4
1984,7.2,12.8,15.8,22.8,24.8,25.4,26.4,38.0,38.2
1985,4.0,7.3,8.8,12.3,14.4,17.8,21.5,26.6,29.2
1986,5.8,8.3,9.3,15.6,21.7,39.1,50.5,58.8,76.7
1987,3.6,6.4,8.8,13.2,13.3,16.8,28.1,28.8,48.3
1988,8.4,11.5,15.9,22.3,24.3,29.5,42.6,45.2,52.7
1989,5.3,9.9,14.1,21.3,24.0,25.2,31.6,49.7,62.1
1990,3.6,7.2,10.8,13.5,13.6,21.2,33.3,39.4,44.0
1991,3.8,7.4,9.8,11.5,18.2,20.7,22.5,26.8,30.4
1992,4.0,7.9,11.8,15.7,16.4,24.2,,,54.0
1993,7.7,12.5,14.5,16.1,17.6,29.1,37.1,44.4,48.8
1994,9.5,10.9,13.9,19.2,22.4,24.6,29.2,34.5,42.8
1995,10.4,15.2,17.3,27.6,35.9,36.1,53.0,57.8,60.8
1996,8.2,8.4,9.1,9.8,10.9,15.7,24.0,32.5,51.4
1998,10.4,15.5,19.3,24.5,31.7,48.1,64.4,66.8,71.4
1999,9.5,18.9,26.4,41.0,43.9,45.2,,,60.0
